precision,recall,f-score 
0.9926650366748166,0.6612377850162866,0.7937438905180841
0.9850427350427351,0.750814332247557,0.8521256931608133
0.9457943925233645,0.8241042345276873,0.8807658833768494
0.8538812785388128,0.9136807817589576,0.8827694728560189
0.5871029836381135,0.993485342019544,0.7380520266182697
0.40939597315436244,0.993485342019544,0.5798479087452472
0.37423312883435583,0.993485342019544,0.5436720142602495
0.3291958985429034,0.993485342019544,0.4945277665180381
0.2693156732891832,0.993485342019544,0.42375824939215007
0.21577644145737532,0.993485342019544,0.3545480964835804
