precision,recall,f-score 
0.8890728476821192,0.8689320388349514,0.8788870703764321
0.8254437869822485,0.9029126213592233,0.8624420401854713
0.7543160690571049,0.919093851132686,0.8285922684172137
0.718397997496871,0.9288025889967637,0.8101623147494708
0.6847058823529412,0.941747572815534,0.79291553133515
0.6595264937993236,0.9466019417475728,0.7774086378737542
0.6254002134471718,0.948220064724919,0.7536977491961414
0.6039094650205762,0.9498381877022654,0.7383647798742139
0.5788954635108481,0.9498381877022654,0.7193627450980391
0.5571293673276676,0.9546925566343042,0.7036374478234944
0.534841628959276,0.9563106796116505,0.6860127684271619
0.5175131348511384,0.9563106796116505,0.6715909090909091
0.5029635901778154,0.9611650485436893,0.6603668704836021
0.486088379705401,0.9611650485436893,0.6456521739130435
0.4722222222222222,0.9627831715210357,0.6336528221512246
0.4605873261205564,0.9644012944983819,0.6234309623430961
0.45098039215686275,0.9676375404530745,0.6152263374485597
0.43956043956043955,0.970873786407767,0.6051437216338881
0.430416068866571,0.970873786407767,0.5964214711729623
0.418702023726448,0.970873786407767,0.5850804485616772
0.4100817438692098,0.9741100323624595,0.5771812080536913
0.40186915887850466,0.9741100323624595,0.5689981096408318
0.3934640522875817,0.9741100323624595,0.5605214152700185
0.3854033290653009,0.9741100323624595,0.5522935779816514
0.3750778816199377,0.9741100323624595,0.5416104363472785
0.3694852941176471,0.9757281553398058,0.536
0.36369119420989143,0.9757281553398058,0.5298769771528998
0.3578635014836795,0.9757281553398058,0.5236647850629613
0.35304449648711944,0.9757281553398058,0.5184866723989682
0.3485549132947977,0.9757281553398058,0.5136286201022147
0.3420306296086217,0.9757281553398058,0.5065098698026039
0.3383838383838384,0.9757281553398058,0.5025
0.3322314049586777,0.9757281553398058,0.4956843403205919
0.3280825638240087,0.9773462783171522,0.49125660837738916
0.323513658275308,0.9773462783171522,0.4861167002012073
0.3192389006342495,0.9773462783171522,0.48127490039840637
0.3131156039398652,0.9773462783171522,0.47428347074990185
0.30958482829318296,0.9773462783171522,0.47022187621642664
0.30458900655572363,0.9773462783171522,0.4644367550941946
0.300796812749004,0.9773462783171522,0.46001523229246005
0.29739044805514525,0.9773462783171522,0.45602114005285016
0.2929194956353055,0.9773462783171522,0.45074626865671635
0.2903846153846154,0.9773462783171522,0.4477390659747962
0.2870722433460076,0.9773462783171522,0.443791329904482
0.2830365510777882,0.9773462783171522,0.43895348837209297
0.2811918063314711,0.9773462783171522,0.43673174258857556
0.2775735294117647,0.9773462783171522,0.4323550465282749
0.2750455373406193,0.9773462783171522,0.4292821606254443
0.27207207207207207,0.9773462783171522,0.42565186751233264
0.26868327402135234,0.9773462783171522,0.42149337055129105
0.26643140714600794,0.9773462783171522,0.41871750433275556
0.2636403317328677,0.9773462783171522,0.4152629769680302
0.26124567474048443,0.9773462783171522,0.4122866894197953
0.25954525954525953,0.9789644012944984,0.41030857917938285
0.25690021231422505,0.9789644012944984,0.406996300033636
0.25548986486486486,0.9789644012944984,0.40522438044206294
0.25356244761106456,0.9789644012944984,0.40279627163781623
0.25103734439834025,0.9789644012944984,0.3996036988110964
0.24845995893223818,0.9789644012944984,0.39633147723550605
0.2465362673186634,0.9789644012944984,0.3938802083333333
0.24405002016942315,0.9789644012944984,0.390700678075557
0.24267950260730045,0.9789644012944984,0.388942462230794
0.24151696606786427,0.9789644012944984,0.38744796669868714
0.2388472167390446,0.9789644012944984,0.3840050777530942
0.23781446540880502,0.9789644012944984,0.3826691967109424
0.23614363778298206,0.9789644012944984,0.3805031446540881
0.23422377080913667,0.9789644012944984,0.37800687285223367
0.23314065510597304,0.9789644012944984,0.37659508247743545
0.2312691131498471,0.9789644012944984,0.3741496598639456
0.2301255230125523,0.9789644012944984,0.37265167847243613
0.22838807097017744,0.9789644012944984,0.3703703703703704
0.22718738265114533,0.9789644012944984,0.36879000304785126
0.2254938501677227,0.9789644012944984,0.3665555892153893
0.22365988909426987,0.9789644012944984,0.36412879927776104
0.2221814175541682,0.9789644012944984,0.36216701586351396
0.22112573099415206,0.9789644012944984,0.360763267740012
0.219680464778504,0.9789644012944984,0.35883748517200476
0.21793948126801152,0.9789644012944984,0.3565114908662345
0.21743810548977396,0.9805825242718447,0.3559471365638766
0.21565836298932384,0.9805825242718447,0.35355892648774795
0.2147413182140326,0.9805825242718447,0.35232558139534886
0.21390751853159196,0.9805825242718447,0.3512025499855114
0.21211060553027652,0.9805825242718447,0.3487769784172662
0.2109293421510616,0.9805825242718447,0.3471784588942996
0.2098337950138504,0.9805825242718447,0.3456930975470622
0.20874956941095418,0.9805825242718447,0.34422039193410964
0.20817588457574718,0.9805825242718447,0.3434400680079343
0.20732124529592885,0.9805825242718447,0.34227619316577246
0.20563284696301323,0.9805825242718447,0.3399719495091164
0.20466058763931105,0.9805825242718447,0.33864207879295893
0.20383451059535823,0.9805825242718447,0.33751044277360065
0.20281124497991967,0.9805825242718447,0.33610648918469216
0.20006602839220866,0.9805825242718447,0.3323279407732383
0.2,0.9805825242718447,0.33223684210526316
0.19881889763779528,0.9805825242718447,0.33060556464811786
0.19586296056884292,0.9805825242718447,0.3265086206896552
0.19491798005789643,0.9805825242718447,0.32519452642876306
0.19385796545105566,0.9805825242718447,0.3237179487179487
0.19423076923076923,0.9805825242718447,0.3242375601926164
0.1929321872015282,0.9805825242718447,0.32242617717478056
0.1902071563088512,0.9805825242718447,0.31861198738170343
0.18961201501877348,0.9805825242718447,0.3177766124803357
0.19044626021370206,0.9805825242718447,0.31894736842105265
0.1894934333958724,0.9805825242718447,0.31761006289308175
